Enteroendocrine,Enterocyte,Secretory,Stem,MCell
,FAM160A1,YIPF3,,
,PCYT1A,IFT20,,
,TEP1,UFL1,,
,HADHA,TM9SF2,,
,CCDC88C,SYNGR2,,
,LPCAT3,NUCB1,,
,TBC1D14,GMDS,,
,GUCD1,SEC61G,,
,ACADM,RFC1,,
,MVP,C2CD2L,,
,ACTN4,SMIM3,,
,TSPAN15,HSP90B1,,
,RUFY3,SRP9,,
,MCU,OST4,,
,SPINT1,TMEM183A,,
,SFXN1,AC068631.2,,
,ALAS1,TOM1L1,,
,TOR1AIP2,SH3PXD2A,,
,CARD16,AC012254.2,,
,BPNT1,,,
,BAIAP2L1,,,
,IFNGR2,,,
,AL139011.2,,,
,ATP1A1,,,
,DNPEP,,,
,AKR7L,,,
,DLST,,,
,UGT1A6,,,
,MYO1D,,,
,TMEM120A,,,
,CDH17,,,
,ACAA2,,,
,HADH,,,
,CASP7,,,
,ACP5,,,
,RFK,,,
,ALDH9A1,,,
,VIPR1,,,
,TXNDC17,,,
,ENO1,,,
,HSD17B4,,,
,SLC39A4,,,
,NLRP6,,,
,PTTG1IP,,,
,IL17RC,,,
,NET1,,,
,LAD1,,,
,MDH2,,,
,C9orf64,,,
,ERBB3,,,
,PROZ,,,
,TAX1BP3,,,
,PGD,,,
,GPI,,,
,PRAP1,,,
,LYPLA1,,,
